t tx ty tvx tvy zx zy ex ey evx evy fdvx fdvy sx sy errz errkf
12.4000 23.7381 28.2383 3.4462 2.4627 24.1049 28.2358 23.2707 28.0207 3.0727 2.4209 13.7596 10.5193 0.3934 0.2300 0.3669 0.5156
12.5000 24.0822 28.4834 3.4160 2.5215 24.7077 29.2076 23.7528 28.4627 3.2196 2.6582 6.0276 9.7174 0.3934 0.2300 0.9569 0.3300
12.6000 24.4067 28.7301 3.1519 2.4006 22.0969 28.6410 23.7686 28.7100 2.9624 2.6362 -26.1081 -5.6655 0.3934 0.2300 2.3116 0.6385
12.7000 24.7244 28.9612 3.1610 2.2397 25.1574 29.3164 24.2340 29.0462 3.1045 2.7222 30.6047 6.7535 0.3934 0.2300 0.5600 0.4978
12.8000 25.0282 29.1911 2.9654 2.3419 26.2911 29.2130 24.8148 29.2961 3.3316 2.6958 11.3375 -1.0334 0.3934 0.2300 1.2630 0.2379
12.9000 25.3149 29.4343 2.8096 2.5159 23.0528 29.4044 24.8236 29.5315 3.0592 2.6553 -32.3825 1.9135 0.3934 0.2300 2.2623 0.5008
13.0000 25.6027 29.6779 2.9571 2.3932 26.8489 29.5722 25.3957 29.7495 3.2827 2.5988 37.9607 1.6783 0.3934 0.2300 1.2507 0.2190
13.1000 25.8779 29.9184 2.6505 2.4425 24.4292 30.0909 25.5235 30.0266 3.1144 2.6193 -24.1973 5.1871 0.3934 0.2300 1.4589 0.3705
13.2000 26.1263 30.1541 2.3989 2.3934 27.3884 30.2639 26.0754 30.2833 3.3163 2.6131 29.5923 1.7297 0.3934 0.2300 1.2668 0.1388
13.3000 26.3634 30.4059 2.4533 2.4965 27.7742 30.7645 26.6187 30.5912 3.4941 2.6683 3.8577 5.0058 0.3934 0.2300 1.4557 0.3155
13.4000 26.6209 30.6492 2.6039 2.3290 28.2107 31.2540 27.1605 30.9418 3.6556 2.7678 4.3652 4.8955 0.3934 0.2300 1.7010 0.6138
13.5000 26.8759 30.8913 2.4425 2.4335 28.2035 30.8401 27.6309 31.1385 3.7437 2.6727 -0.0722 -4.1387 0.3934 0.2300 1.3285 0.7944
13.6000 27.1101 31.1328 2.1864 2.2579 27.0324 31.5178 27.8547 31.4295 3.6172 2.7008 -11.7103 6.7766 0.3934 0.2300 0.3928 0.8016
13.7000 27.3290 31.3569 2.1776 2.1325 25.8154 31.6840 27.8447 31.6963 3.3051 2.6969 -12.1706 1.6619 0.3934 0.2300 1.5486 0.6173
13.8000 27.5505 31.5637 2.3069 1.9342 27.6723 31.6590 28.0974 31.9010 3.2397 2.6198 18.5689 -0.2503 0.3934 0.2300 0.1546 0.6425
13.9000 27.7725 31.7557 2.1440 2.0265 27.5761 31.4911 28.2905 32.0207 3.1298 2.4511 -0.9617 -1.6783 0.3934 0.2300 0.3295 0.5818
14.0000 27.9838 31.9511 2.0767 1.8667 26.8704 31.3341 28.3352 32.0686 2.9044 2.2171 -7.0574 -1.5705 0.3934 0.2300 1.2729 0.3705
14.1000 28.1988 32.1282 2.1928 1.6840 28.2776 30.8500 28.5718 31.9855 2.8592 1.8554 14.0726 -4.8407 0.3934 0.2300 1.2807 0.3994
14.2000 28.4097 32.2834 1.9342 1.4728 29.1141 31.6610 28.8974 32.0631 2.8925 1.7273 8.3650 8.1101 0.3934 0.2300 0.9400 0.5351
14.3000 28.5909 32.4217 1.7545 1.3720 28.6073 32.7918 29.0970 32.3535 2.8172 1.8670 -5.0678 11.3074 0.3934 0.2300 0.3704 0.5106
14.4000 28.7619 32.5554 1.5761 1.3811 28.0186 32.8008 29.1681 32.5953 2.6404 1.9324 -5.8875 0.0902 0.3934 0.2300 0.7828 0.4082
14.5000 28.9167 32.6720 1.5770 1.0093 29.5553 32.9365 29.4513 32.8199 2.6564 1.9696 15.3676 1.3576 0.3934 0.2300 0.6913 0.5547
14.6000 29.0740 32.7846 1.4364 1.3010 29.8644 32.3359 29.7397 32.8727 2.6756 1.7986 3.0904 -6.0060 0.3934 0.2300 0.9089 0.6716
14.7000 29.2147 32.9036 1.2431 1.0663 29.6291 32.9754 29.9487 33.0362 2.6264 1.7792 -2.3529 6.3940 0.3934 0.2300 0.4205 0.7459
14.8000 29.3523 33.0070 1.3311 1.0070 28.8020 32.0721 29.9932 32.9724 2.4432 1.4924 -8.2715 -9.0329 0.3934 0.2300 1.0849 0.6419
14.9000 29.4962 33.1141 1.4962 1.2009 27.8383 32.2453 29.8661 32.9361 2.1312 1.2723 -9.6363 1.7324 0.3934 0.2300 1.8717 0.4105
15.0000 29.6470 33.2222 1.4951 0.9892 29.6174 32.1890 30.0078 32.8783 2.0712 1.0527 17.7905 -0.5624 0.3934 0.2300 1.0335 0.4984
15.1000 29.7882 33.3231 1.3412 1.0052 29.1169 33.3241 30.0449 33.0556 1.9284 1.1382 -5.0045 11.3502 0.3934 0.2300 0.6712 0.3708
