# raw rows of the Chapter 25 mini-study; generated by code/figures/gen_ch25_study.py from code/ch25_evaluation.py; cells (2,0) (2,1) (4,0) (4,1), seeds 0-19, strategies none/local/replan/hybrid, prediction=noisy; add the git commit of the code to this line when you publish a study
k m seed strategy family collision n_collisions near_miss dmin_dd dmin_di path_total path_ratio travel_mean makespan soc success replans avoid_steps comp_mean_ms comp_p99_ms comp_max_ms comp_total_s deadline_misses ef_mean ef_max comm_viol steps
2 1 7 local turning 0 0 0 2.0698 1.1169 38.7345 1.0815 12.8500 13.5000 25.7000 1 0 116 0.1638 0.3919 0.4691 0.0475 0 0.8141 2.8283 0 145
2 1 7 replan turning 0 0 0 1.5037 3.5305 37.7653 1.0538 14.2500 14.4000 28.5000 1 5 0 0.0755 0.8237 0.9343 0.0232 0 1.0408 2.4064 0 154
2 1 7 hybrid turning 0 0 0 2.0523 1.3586 37.1795 1.0375 14.0500 14.3000 28.1000 1 2 82 0.1417 0.4378 0.8538 0.0434 0 0.6399 1.6349 0 153
2 1 8 none evasive 1 1 1 1.9607 0.5482 35.8959 0.9989 12.7000 13.4000 25.4000 0 0 0 0.0659 0.1299 0.1619 0.0190 0 0.0292 0.2458 0 144
2 1 8 local evasive 0 0 1 2.9005 0.8033 36.9567 1.0285 12.8000 13.6000 25.6000 1 0 71 0.1221 0.3819 0.5318 0.0357 0 0.8734 2.8844 0 146
2 1 8 replan evasive 0 0 0 3.2718 1.1496 37.6472 1.0477 13.8500 15.3000 27.7000 1 4 0 0.0711 0.6304 0.9322 0.0232 0 1.9704 4.4380 0 163
2 1 8 hybrid evasive 0 0 1 2.9005 0.8033 38.4405 1.0699 14.1500 16.3000 28.3000 1 1 70 0.1177 0.4139 0.8523 0.0407 0 1.9753 4.5527 0 173
2 1 9 none straight 1 1 1 1.9814 0.0000 35.6000 0.9989 12.6000 13.3000 25.2000 0 0 0 0.0583 0.1082 0.1321 0.0167 0 0.0294 0.2458 0 143
2 1 9 local straight 0 0 0 1.0608 1.0918 37.2465 1.0450 12.6000 13.3000 25.2000 1 0 43 0.0962 0.3535 0.4174 0.0275 0 0.3563 1.7148 0 143
2 1 9 replan straight 0 0 0 1.9809 1.5300 38.0668 1.0681 13.5500 13.9000 27.1000 1 4 0 0.0686 0.7644 0.8861 0.0204 0 0.6714 1.7926 0 149
2 1 9 hybrid straight 0 0 0 1.1911 1.1273 36.9031 1.0354 12.6000 13.3000 25.2000 1 1 42 0.1013 0.3628 0.9557 0.0290 0 0.3240 1.5689 0 143
2 1 10 none turning 1 1 1 2.0869 0.0004 35.4448 0.9989 12.5000 13.3000 25.0000 0 0 0 0.0645 0.1257 0.1650 0.0184 0 0.0296 0.2458 0 143
2 1 10 local turning 0 0 1 1.0429 0.8794 36.4323 1.0268 12.5000 13.3000 25.0000 1 0 47 0.0979 0.3537 0.3994 0.0280 0 0.1816 1.0729 0 143
2 1 10 replan turning 0 0 0 1.0217 1.3248 36.6768 1.0336 13.0000 13.8000 26.0000 1 2 0 0.0667 0.1872 0.8407 0.0198 0 0.7323 1.6624 0 148
2 1 10 hybrid turning 0 0 1 1.0429 0.9954 36.4006 1.0259 12.9000 13.3000 25.8000 1 1 47 0.1087 0.4938 0.8347 0.0311 0 0.5340 1.2171 0 143
2 1 11 none evasive 0 0 0 2.0641 2.4049 35.8124 0.9991 12.7000 13.5000 25.4000 1 0 0 0.0582 0.1076 0.1800 0.0169 0 0.0294 0.2458 0 145
2 1 11 local evasive 0 0 0 2.1075 2.6599 36.0274 1.0051 12.7000 13.5000 25.4000 1 0 40 0.0912 0.3494 0.3862 0.0265 0 0.1808 0.8010 0 145
2 1 11 replan evasive 0 0 0 1.9664 3.9354 36.1844 1.0094 13.3000 14.7000 26.6000 1 2 0 0.0624 0.1071 0.8088 0.0196 0 0.9774 2.1114 0 157
2 1 11 hybrid evasive 0 0 0 2.1075 2.6599 36.0274 1.0051 12.7000 13.5000 25.4000 1 0 40 0.0971 0.4089 0.4682 0.0282 0 0.1808 0.8010 0 145
2 1 12 none straight 1 1 1 2.0883 0.0000 35.8842 0.9990 12.7000 13.5000 25.4000 0 0 0 0.0605 0.1214 0.2802 0.0175 0 0.0293 0.2458 0 145
2 1 12 local straight 0 0 0 3.0796 1.2634 36.5511 1.0175 12.7000 13.5000 25.4000 1 0 77 0.1228 0.3555 0.3596 0.0356 0 0.3234 1.4360 0 145
2 1 12 replan straight 0 0 0 1.4041 1.7106 38.8555 1.0816 15.1500 15.6000 30.3000 1 6 0 0.0740 0.8400 1.1286 0.0246 0 1.0465 2.1436 0 166
2 1 12 hybrid straight 0 0 0 3.0796 1.2634 36.5511 1.0175 12.7000 13.5000 25.4000 1 0 77 0.1347 0.4047 0.4761 0.0391 0 0.3234 1.4360 0 145
2 1 13 none turning 1 1 1 1.5052 0.0002 35.7908 0.9989 12.4000 13.0000 24.8000 0 0 0 0.0587 0.1131 0.1833 0.0164 0 0.0295 0.2458 0 140
2 1 13 local turning 0 0 1 0.8352 0.9203 38.8210 1.0842 33.4000 33.7000 66.8000 1 0 465 0.2259 0.4534 0.4920 0.1568 0 5.8034 9.0335 0 347
